排 名,山 峰,高 度（单位米）,山 脉,地 区,主 峰,首次登峰,登峰次数（尝试次数）,经度,纬度
88,巴尔蒂斯坦峰,7282,玛夏布洛姆 喀喇昆仑,喀什米尔（巴基斯坦）,乔戈里萨峰,1970,1（3）,76.55222,35.41833
89,Kangpenqing,7281,Baiku 喜马拉雅,中国,希夏邦马峰,1982,1（1）,85.54556,28.55083
90,慕士塔格塔峰,7276,巴尔托洛慕士塔格山 喀喇昆仑,喀什米尔（巴基斯坦）,斯吉尔布鲁木峰,1956,4（2）,76.36083,35.82722
91,Mana Peak,7272,Garhwal 喜马拉雅,印度,慕士塔格塔峰,1937,7（3）,79.61556,30.88083
,道拉吉里VI峰,7268,道拉吉里峰喜马拉雅,尼泊尔,道拉吉里IV峰,1970,5（0）,83.2725,28.70806
92,迪让峰,7266,拉卡波希－哈拉莫什山脉 喀喇昆仑,喀什米尔（巴基斯坦）,马鲁毕庭峰,1968,12（8）,74.66111,36.12194
93,拉布吉康峰 III / East[10],7250,拉布吉康 喜马拉雅,中国,拉布吉康峰,unclimbed,0（0）,86.38417,28.30028
94,Putha Hiunchuli,7246,道拉吉里峰喜马拉雅,尼泊尔,道拉吉里峰,1954,11（5）,83.14861,28.74722
95,Apsarasas Kangri,7245,Siachen 喀喇昆仑,喀什米尔,特拉木坎力峰 I,1976,2（0）,77.14972,35.53889
96,Mukut Parbat,7242,Garhwal 喜马拉雅,印度／中国,卡密特山,1951,2（1）,79.56861,30.95028
97,里莫III峰,7233,里莫山脉 喀喇昆仑,喀什米尔,里莫I峰,1985,1（0）,77.36167,35.37472
98,Langtang Lirung,7227,Langtang 喜马拉雅,尼泊尔,希夏邦马峰,1978,14（13）,85.51722,28.25556
99,卡热疆峰,7221,Kula Kangri 喜马拉雅,中国,库拉冈日峰,unclimbed,0（2）,90.64528,28.25861
100,Annapurna Dakshin,7219,安纳普那喜马拉雅,尼泊尔,安纳布尔纳峰,1964,10（16）,83.8075,28.51778
101,Khartaphu,7213,马哈兰格·喜玛尔 喜马拉雅,中国,珠穆朗瑪峰,1935,1（0）,86.9775,28.0625
102,同山加布峰[11],7207,Lunana 喜马拉雅,不丹（/中国）,冈嘎本孙峰,unclimbed,0（0）,89.9575,28.18667
103,Malangutti Sar,7207,希斯帕慕士塔格山脉 喀喇昆仑,喀什米尔（巴基斯坦）,迪斯特吉峰,1985,1（0）,75.14778,36.36417
104,宁金抗沙峰,7206,拉轨岗日喜马拉雅,中国,同山加布峰,1986,4（1）,90.17833,28.94667
105,南当里峰,7205,Langtang 喜马拉雅,尼泊尔／中国,安纳布尔纳峰,1981,4（0）,85.68361,28.38139
106,Kangphu Kang,7204,Lunana 喜马拉雅,不丹（/中国）,同山加布峰,2002,1（0）,90.0625,28.155
107,Singhi Kangri,7202,Siachen 喀喇昆仑,喀什米尔,特拉木坎力峰III,1976,2（0）,76.98278,35.59889
108,Lupghar Sar,7200,希斯帕慕士塔格山脉 喀喇昆仑,喀什米尔（巴基斯坦）,莫慕希尔峰,1979,1（0）,75.02583,36.34833
